"Countries","Lat","Long","data","cases","deaths"
"Brazil",-14.235,-51.9253,2021-02-22,10205663,247431
"Brazil",-14.235,-51.9253,2021-02-23,10269248,248790
"Brazil",-14.235,-51.9253,2021-02-24,10334634,250236
"Brazil",-14.235,-51.9253,2021-02-25,10402913,251811
"Brazil",-14.235,-51.9253,2021-02-26,10466308,253154
"Brazil",-14.235,-51.9253,2021-02-27,10524726,254406
"Brazil",-14.235,-51.9253,2021-02-28,10558091,255179
"Brazil",-14.235,-51.9253,2021-03-01,10598476,256007
"Brazil",-14.235,-51.9253,2021-03-02,10658171,257728
"Brazil",-14.235,-51.9253,2021-03-03,10731070,259576
"Brazil",-14.235,-51.9253,2021-03-04,10807092,261384
"Brazil",-14.235,-51.9253,2021-03-05,10879597,263098
"Brazil",-14.235,-51.9253,2021-03-06,10946501,264588
"Brazil",-14.235,-51.9253,2021-03-07,11028185,265686
"Brazil",-14.235,-51.9253,2021-03-08,11064770,266808
"Brazil",-14.235,-51.9253,2021-03-09,11136064,268759
"Brazil",-14.235,-51.9253,2021-03-10,11217531,271140
"Brazil",-14.235,-51.9253,2021-03-11,11294602,273335
"Brazil",-14.235,-51.9253,2021-03-12,11377073,275457
"Brazil",-14.235,-51.9253,2021-03-13,11447416,277413
"Brazil",-14.235,-51.9253,2021-03-14,11490864,278483
"Brazil",-14.235,-51.9253,2021-03-15,11535178,279817
"Brazil",-14.235,-51.9253,2021-03-16,11620823,282667
"Brazil",-14.235,-51.9253,2021-03-17,11709475,285328
"Brazil",-14.235,-51.9253,2021-03-18,11797401,288052
"Brazil",-14.235,-51.9253,2021-03-19,11885660,290708
"Brazil",-14.235,-51.9253,2021-03-20,11958814,293076
"Brazil",-14.235,-51.9253,2021-03-21,12006259,294323
"Brazil",-14.235,-51.9253,2021-03-22,12062229,295926
"Brazil",-14.235,-51.9253,2021-03-23,12147437,299073
"Brazil",-14.235,-51.9253,2021-03-24,12238343,301390
"Brazil",-14.235,-51.9253,2021-03-25,12336604,304044
"Brazil",-14.235,-51.9253,2021-03-26,12416950,307554
"Brazil",-14.235,-51.9253,2021-03-27,12498653,310963
"Brazil",-14.235,-51.9253,2021-03-28,12545611,312545
"Brazil",-14.235,-51.9253,2021-03-29,12588226,314558
"Brazil",-14.235,-51.9253,2021-03-30,12674667,318213
"Brazil",-14.235,-51.9253,2021-03-31,12763392,322138
"Brazil",-14.235,-51.9253,2021-04-01,12851165,325793
"Brazil",-14.235,-51.9253,2021-04-02,12920540,328594
